username,comment,comment_likes,since_posted,current_date
@rebrand225,more football associations should post the full match on youtube cause this match was unreal,2.2K,2 months ago,06/04/2024
@ricardobjj24,Games like this are why football is the best sport in the world,2.7K,2 months ago,06/04/2024
@user-tq8tr4sj3s,Into the history books it goes. Classic game between the two biggest rivals in English football ,918,2 months ago,06/04/2024
@Ilkaygundogoat,Actually one of the most enjoyable games I ever watched,784,2 months ago,06/04/2024
@ny8196,"9:20 Man U 1-0
43:25 Liverpool 1-1
46:43 Liverpool 1-2
1:31:06 Man U 2-2
 Liverpool 2-3
  Man U 3-3
  Man U 4-3",1.1K,2 months ago (edited),06/04/2024
@kevinliew5112,This match become more meaningful after winning FA Cup 2024 ,6,9 days ago,06/04/2024
@DexterPlayz_Productions,"I cried my eyes out when United scored the 4th goal. Come on United!

QUADRUPLE DREAMS, THEY ARE ALL CRUSHED! BY UNITED, BY UNITEEED",531,2 months ago,06/04/2024
@creedencebakken2686,The people who will watch this after missing out on it live won’t experience the anxiety both fan bases experienced ,507,2 months ago,06/04/2024
@kashimawoorogade2594,The first 30 mins is the best 30 mins have seen United play under Ten Hag against a top 6 opponent both home and away .. they need to do that for longer,251,2 months ago,06/04/2024
@virajjain786,Dalot has such a great mentality he tries to motivate every player on the pitch future captain for sure ,123,2 months ago,06/04/2024
@josephngola,I like the show of passion from that young boy he felt crying after Amad  goal.,143,2 months ago,06/04/2024
@meat_loves_wasabi,Wow .. they showing the whole game .. that’s how epic it was,145,2 months ago,06/04/2024
@curtisoliver1006,This is going to be a popular full match upload. What a match to recap on. Even if you are not a Man Utd or Liverpool supporter. I am however a delighted man as I'm Utd.,142,2 months ago (edited),06/04/2024
@Self-unaliver,This game is an all timer. The level of football was like a Champions League final.,138,2 months ago,06/04/2024
@jpmeredith8973,Partisan commentary throughout this game. Pro-Liverpool completely contradicting what the eyes can see.,167,2 months ago,06/04/2024
@ILTOMBA,How dominant Mainoo already is in his body language both on and off the ball.,133,2 months ago,06/04/2024
@arjunkartik3646,Dis game was rollercoaster of emotions ngl,177,2 months ago,06/04/2024
@Fun_and_Amazing_Facts,"I was working my shift when this game was on, could only get goal notifications
So Glad i Can Watch the whole game again",119,2 months ago,06/04/2024
@rodrigoher2370,That game makes you understand how special the FA CUP is on a cultural level and the passion there is for this tournament Let's go Manchester United,47,2 months ago,06/04/2024
@jamesdaniel3942,Who agrees with me that onana was impressive in this match.. i think he did so well,46,2 months ago,06/04/2024
@KennyFanTV,Amad diallo scored against Liverpool in the friendly at Thailand and he has done it again ,73,2 months ago,06/04/2024
@danthemainman2492,Peter Drury is the man we want for commentary on big football matches like these.,88,2 months ago,06/04/2024
@Kris_413,"Just finish watching the whole thing and that passion the little boy showed in the crowd is why we call it ""The Beautiful Game"" ",24,2 months ago,06/04/2024
@bijanadhikari7928,This will go down as one of the greatest matches in English football history. Instant classic.,16,2 months ago,06/04/2024
@sb21..,Bet Liverpool fans Amad after that game,182,2 months ago (edited),06/04/2024
@rajveerkanojiya2985,if commentary was better this was an 10/10 game,32,2 months ago,06/04/2024
@duffmid,If I had been listening to this commentary live I would've lost my mind.  Watching it back now with a slight sense of detachment the bias and predetermined narrative is so painfully clear.  Makes the final result all the more sweet though.,32,2 months ago,06/04/2024
@notjhoan,Best game since the world cup final,46,2 months ago,06/04/2024
@markmorris5341,Petition for all major leagues to post full match highlights and speedy highlights like the fa cup admins .,22,2 months ago,06/04/2024
@arunbelur6759,Thank you for posting this. Here in Australia  FA Cup and the Premier League is at odd times. Now I can enjoy this and not some silly highlights.,22,2 months ago,06/04/2024
@ReggyGDI,One of the best games of this season and maybe one of the best games of the FA Cup.,19,2 months ago,06/04/2024
@United_Wings,This is an official classic,41,2 months ago,06/04/2024
@abhishekgiri1201,A United Liverpool classic !! The boys showed so real character !! GGMU,19,2 months ago,06/04/2024
@AhYes-it3mr,"End to end action, such a brilliant game, even watching it ""cold"", its still exciting!! What a game!",19,2 months ago,06/04/2024
@armaddreadchronicles116,"And that was and is now a CLASSIC.

To future Generations: If you're reading this i want you to know this is the day Liverpool's Quadruple dreams ended at the Theater of Dreams.",12,2 months ago (edited),06/04/2024
@sikhomali7924,Just needed Peter Drury behind that microphone,33,2 months ago,06/04/2024
@Urmashouldvswallowed,"I think Anthony has proven he’s a big game player 
Arsenal, city, Barcelona  liverpool, great performance vs spurs last season there’s probably more",52,2 months ago,06/04/2024
@ilovepizza8263,"this and the world cup final 2022 are amongst the best matches ive ever watched , weve been spoiled recently",7,2 months ago,06/04/2024
@Premiumking25,I always appreciate a full match on YouTube!,15,2 months ago,06/04/2024
@zafarulasyraf,thank you. classic game to be cherished for a long long time,15,2 months ago,06/04/2024
@SuperAzeone,So great having two wingback in the team… Dalot and Aron..,9,2 months ago,06/04/2024
@long_strong8843,"I don't know why FA Cup shows the full match right away, don't make us pay, but thanks to them for letting us watch this great rivalry match",8,2 months ago,06/04/2024
@user-gz7nb4rx7r,Manchester United ,24,2 months ago,06/04/2024
@failkick9790,"I haven't cried in a while,, ",32,2 months ago,06/04/2024
@hamzahmohammad260,Commentator was obviously pro Liverpool hoping for a Liverpool win when its 3rd goal went in.,10,2 months ago,06/04/2024
@Flash95786,"34:58 my best part. Kobbie mainoo, brilliant player",6,2 months ago,06/04/2024
@rammus5672,"Kobbie Starts Dribbling
Beats 1 - Crowd: ""ooooo""
Beats 2 - Crowd: ""ooOOOOO""
Beats 3 - Crowd: ""OOOOOOOOOOOOOOOOOOOOOOO"" 

He's 18... my guy has to go home and do homework after winning this Quarter Finals.",11,2 months ago,06/04/2024
@gaskieb4llZ04,"Oh, yeah mac allister 100% should of been sent off, heard about the challenge hes just kicked someone in the chest, guess city/ liverpool always get priority now lol",16,2 months ago (edited),06/04/2024
@hkchess2000,Glory Glory Man United!!!,14,2 months ago,06/04/2024
@tryinggaming414,thank you so much for posting the full match,10,2 months ago,06/04/2024
@THE_HIMALAYAS_REDS,"Drama, excitements, passion, cocktail of everything 
 ️ What a game 
If a stranger ask about what football is give him example of this mouthwatering game ",12,2 months ago (edited),06/04/2024
@rolandkis1990,"Watch it back the next day? YES, PLEEEEEASE! ",11,2 months ago,06/04/2024
@S2Y_,"one of the greatest matches ive ever watched 
 absolutely electric",12,2 months ago,06/04/2024
@Kulinerindonesia456,"Very tiring match but maximum result bravo Manchester United, I am a supporter from Indonesia",4,2 months ago,06/04/2024
@abdulazizyusuf3716,This is one of the most fantastic games in the history of football...I can watch this game again and again...ggmu .,2,2 months ago,06/04/2024
@jonahabungu7143,Beating klopp to end Liverpool's quadruple dreams and beating pep's city to end their double dreams....... eras indeed come to an end,3,5 days ago,06/04/2024
@nishanthbaskaran7896,Historic performance from United ,8,2 months ago,06/04/2024
@kaemlice,"I am happy for my husband. Finally, he sees his team playing a great game they all show up for this ..bravo !!!",8,2 months ago,06/04/2024
@user-bq2wk6dt6h,Imagine Peter Drury and Jim Beglin on this. Commentary would have been fire! With all due respect to Martin Tyler and co.,4,2 months ago,06/04/2024
@hoangtuan7156,"great game, terrible commentator ffs",6,2 months ago,06/04/2024
@Luis_Oliveira,"See this Man Utd you showed passion and fight and that’s what us fans love to see! GGMU!!! 
️
️
️",3,2 months ago,06/04/2024
@gonziemacleod,never give up. hands down the second best fa cup match I have seen with United. <3,6,2 months ago,06/04/2024
@Hassania-jw8zm,"To be honest,l never knew this standard of football could come back from being dead and buried in the mid 80s
Best football match between two clubs this century so far by far.
The perfection is unreal.",2,2 months ago,06/04/2024
@Slayer2k24...,For me...this game is the best game for this year...,9,2 months ago,06/04/2024
@jonasloic4194,COMEBACK KINGS CHAMPION ALWAYS MANCHESTER UNITED FOOTBALL CLUB,5,2 months ago,06/04/2024
@AntoinetteUS,"Thank you, YouTube for showing the full game!",5,2 months ago,06/04/2024
@mohamadlife7322,The roar of OT while the counter was commencing feels like 08 again ,14,2 months ago,06/04/2024
@dayoogunmuyiwa8639,The best rivalry between two North West English sides.,1,1 month ago,06/04/2024
@benlambert8481,All time CLASSIC,7,2 months ago,06/04/2024
@tropicalpalmtree,"Even though UTD has been dreadful for a decade, there is always a hype around their big game victories. No team in the prem gets this much enthusiasm and interest in a game like this. For instance if City won this game, it would be forgotten about an hour after it was played.",5,2 months ago,06/04/2024
@limericklad2000,"Absolutely mental that with 2 minutes left Martin Tyler was talking about how the stats would reflect Liverpool's domination when in reality United had more shots, more shots on target, and most importantly almost DOUBLE the XG.",2,2 months ago,06/04/2024
@user-to3rf9fh5l,Like this if you are a United fan ,15,2 months ago,06/04/2024
@user-yi4sf8ej8b,Man that kid celebrating in the end after amad's goal is pure passion,3,2 months ago,06/04/2024
@amirul6447,"I know Martin Tyler is aging but cant he just raise his voice a bit more? Like come on, Arab comms are more passionate than this one",5,2 months ago,06/04/2024
@blenderIN,wish every football game is like this what a game !!!,2,2 months ago,06/04/2024
,Rashford misses anyway,2,2 months ago,06/04/2024
@JohnnyyVee,"I neeeed that Spanish commentary injected into my blood. They made the experience soooo much better lol great game, GGMU!",4,2 months ago,06/04/2024
@fifamaster1744,Best fa cup game of the season,4,2 months ago,06/04/2024
@rishipathak5401,Such a shame how lackluster the commentary was considering how big this game was for both teams,3,2 months ago,06/04/2024
@HazelGolden-mw7wq,The people who will watch this after missing out on it live won’t experience the anxiety both fan bases experienced,3,2 months ago,06/04/2024
@0_Baba,"Alhamdulillah, 
Amaaadddd! Merci Beaucoup UNITED <3 ",18,2 months ago,06/04/2024
@aymarshall6857,FA can’t get over this match they upload the full video,1,2 months ago,06/04/2024
@LubulaAfritech,Love the fact they uploaded on YouTube now I can watch the game at home am in love,1,2 months ago,06/04/2024
@paulocheese,Manchester Is RED,12,2 months ago,06/04/2024
@dessertstorm7476,Wow he called that winning goal as if he was a scouse fan. Amazing finale to a great match and he sounds so disappointed lol,3,2 months ago,06/04/2024
@noelaves8092,Thank you for posting the full match,1,1 month ago,06/04/2024
@tnhungau,This match shows who is still the boss of English football,1,2 months ago,06/04/2024
@rayanealiane1065,Let's goo Manchester United,10,2 months ago,06/04/2024
@scarcyfury518,Instant Classic!,5,2 months ago,06/04/2024
@Editzstickman,Man United actually playing and attacking game,1,2 months ago,06/04/2024
@coachbigi,"Holy smokes Maino37 is a crazy dude. First involvement, with the pressure of the world and at 01:05 he opens like that?!",1,2 months ago (edited),06/04/2024
@user-kt6qr8mm6y,"Спасибо за трансляцию полного матча, фантастическая игра!",4,2 months ago,06/04/2024
@united4939,Who is here in May,6,11 days ago,06/04/2024
@HaaHeee-jq2sg,What a blessing to hear the master Martin Tyler whom.i grew up with his voice telling me how the games going from Piccadilly radio through to sky thanx m.t... you and David meek go long in my memory ,1,2 months ago,06/04/2024
@shina8767,"English club really amazing to watch 
 the camera the angle all perfect",1,2 months ago,06/04/2024
,"What channel was this shown on originally? Commentary is far, far better than that of ITV",3,2 months ago,06/04/2024
@mozard.,what a game!!!!,3,2 months ago,06/04/2024
@Justin-ii1pc,Games like this is why we support utd,2,10 days ago,06/04/2024
@thethirty30,How’s that a foul on Maguire when Macalister kick him in the chest?,2,2 months ago,06/04/2024
@alexwallhead7970,The commentator wants sacking. Peter Drury on this would have been magic. Blokes sounds fuming united have scored the winner.,3,2 months ago,06/04/2024
@argumentchannel,BEST MATCH THIS YEAR,3,2 months ago,06/04/2024
@andhikavananda,"What a match, GGMU ",1,2 months ago,06/04/2024
@sarahkorat7425,เป็นแมทช์ที่ตาตรึงใจที่สุด  gold United ,1,1 month ago,06/04/2024
@jasonbrosnan8770,They have a place in the semi-final martin not the quarter final ,3,2 months ago,06/04/2024
@stevepoulter7515,Can someone explain to me why The Emirates FA Cup don’t include the match score/clock in their videos. Pretty annoying tbh,3,2 months ago,06/04/2024
@EdwardBillio,MANCHESTER UNITED IS THE BIGGEST CLUB IN THE WORLD!!!,2,2 months ago,06/04/2024
@broza82,"2:11:47 Look at that passion from the fans, the teary kid and not forgetting, that beauty on the left ",1,2 months ago,06/04/2024
@gukiinapeter3277,The commentary was definately biased. MANCHESTER UNITED HAD THE BETTER CHANCES. LIVERPOOL GOALS WERE LUCK,3,2 months ago,06/04/2024
@playboicartiluver,9:39 Very Enthusiastic,5,2 months ago,06/04/2024
@fasrosearooh7522,I love Manchester United,2,2 months ago,06/04/2024
@emmanuelwafula99,This match was like a movie to me the feeling on every moment the goal was scored was fantastic,1,2 months ago,06/04/2024
@shin31jimmy,1:23:34,3,2 months ago,06/04/2024
@songwutsangsanguan804,Anthony spin shot. Eric cantona reverse shot.,4,2 months ago,06/04/2024
@Mogwai1923,"Absolutely amazing game, it’s a shame about the terrible commentary.",2,2 months ago,06/04/2024
@petermubiru3655,"Utd forever 
🇺🇬",5,2 months ago,06/04/2024
@BMMO90,MANCHESTER IS RED,6,2 months ago,06/04/2024
@s.casvro,Thank you for uploading the full match,2,2 months ago,06/04/2024
@MAdDyMatt,Would’ve preferred Peter Drury commentary Martin is to bland.,2,2 months ago,06/04/2024
@mastewalmerahe2876,the commentator is jus so mid ,3,2 months ago,06/04/2024
@FeeLeK,Commentator have depression?,3,2 months ago,06/04/2024
@Ciro0324,"At least you could put the time on aswell, so you know what part of the game you even watching.",2,2 months ago,06/04/2024
@kenching4606,Best game since the World Cup final 2022 for me.,2,2 months ago,06/04/2024
@ab4everunited,"With due respect, Martin Tyler should retire from commentary. He's been great for decades, but he's just old now.",3,2 months ago,06/04/2024
@Sportcat01,That commentary for Man United's 4th goal by Martin Tyler is disgraceful,3,2 months ago,06/04/2024
@avadhsahi,"Why does the commentar say a place in the quarter finals at the end??? Quite odd to make such a mistake.
Anyways one of the best gamees I've ever witnessed and eclipses victories over the likes of psg and Barcelona.",2,2 months ago,06/04/2024
@PK-cd1bz,"Such a thrilling game but such a boring commentary. No passion, emotions or anything. It´s really shame.",2,2 months ago,06/04/2024
@conorodonoghue6981,My prediction is Man utd 4 Liverpool 3,4,2 months ago,06/04/2024
@BernardTassart,"Most appreciated 
this is what football is all about 
greetings from Belgium (ANDERLECHT ) and thanks for this jewel !!! And by all means for posting this video which is utter greatness..",,9 days ago,06/04/2024
@ibukuntemitopesamuel7603,"I definitely watching this 21 times. 
2.256 hours * 21 = 47.376 hours. That’s not difficult to do. Cracking game!",1,2 months ago,06/04/2024
@user-cx8mt1iw8s,All man u fans gather here,3,2 months ago,06/04/2024
@user-ju2im2ly9d,Man uuuuuuuuuuuuu already won 4-3,2,2 months ago,06/04/2024
@chriswood753,Why doesn't anybody tell Klopp his teeth are ridiculous!!!! Old wheelie bin teeth ( 1 every yard),2,2 months ago,06/04/2024
@yadukrishnam8139,This channel becoming one of my favourite football channel. Full match,1,2 months ago,06/04/2024
@Mini89632,Liverpool fans are you still crying?,5,2 months ago,06/04/2024
@Anonymous-bu5bg,dull commentary,3,2 months ago,06/04/2024
@toprockersg,Will be remembered in history,1,2 months ago,06/04/2024
@trozard,lame commentory,3,2 months ago,06/04/2024
@marciascott2178,"Congratulations big win my Team Manchester United love 
️ always 
️
️🇯🇲🇺🇸",2,2 months ago,06/04/2024
@srodgers66,Martin Tyler didn't like that did he.,1,2 months ago,06/04/2024
@MrPoppyplants,"Great that you post the full game here but you missed out one really important thing…. The gametime and scoreline…. I mean, wth?",1,2 months ago,06/04/2024
@MO-9870,What minute was it where Mainoo took on 3 players with that skill he did?,2,2 months ago,06/04/2024
@captainfirst8527,full match free? FA cup channel have this feature?,2,2 months ago,06/04/2024
@lisandromartinez8544,We can watch this match as many times as me want. Because it's SuperB match,2,2 months ago (edited),06/04/2024
@hahahajoe,"But our problem is we do not have the consistency all seasons, we do very well in one game but lost badly to struggling team easily. I think we might loss again in our next game.",1,2 months ago,06/04/2024
@igulif4730,I’m from Việt Nam!Mu forever! since 1999!,2,2 months ago,06/04/2024
@Fras77,"The commentary for this match was memorable for me because they show absolutely zero emotion when goals are scored, and it was missed dearly.",,6 days ago,06/04/2024
@hoshixll,"get this old man retired man, he's so emotionlessly even trying to hype up this classic game",2,2 months ago,06/04/2024
@backup-vv1yy,Love from India,1,2 months ago,06/04/2024
@BlackPhillipShow_,"You can always tell the difference in enthusiasm, passion and excitement in a commentators voice when they know they’re not the live broadcast. The commentary feels half arsed.",1,2 months ago,06/04/2024
@LukeTheNuke4Life,What a game 4-3,2,2 months ago,06/04/2024
@Zonsyl,come again years after to watch this. it will still give you goosebumps.,,2 months ago,06/04/2024
@grey_north9016,"What a game. Million thanks for posting this 
️",1,2 months ago,06/04/2024
@zolanishinya474,Garnacho was man of the match in this game.,1,2 months ago,06/04/2024
@CaptainDarrick,A video upload..2 and 1/4 hrs long ...and you couldn't show the teams coming out of the tunnel ...WHAT ?,1,2 months ago,06/04/2024
@K_0106,"That pass from Eriksen to Rashford at the end of 2nd half 
 i thought that was iur last chance",1,2 months ago,06/04/2024
@dayoogunmuyiwa8639,Come on United ,2,2 months ago,06/04/2024
@superskaria,thank you offical team for uploading the whole match,1,2 months ago,06/04/2024
@tyqwdybijo,Timeless Classic,1,2 months ago,06/04/2024
@hargoisgod,2:03:48. Put on your headphones if you want to listen to ‘You Scouse Bastards’! ,2,2 months ago,06/04/2024
@wisdomdivine4843,Liverpool were in a sleepwalking-like manner before MAN U snatched victory from them unaware,2,2 months ago,06/04/2024
@alittlebitofwaffle4072,When did Martin Tyler become so bored of football?,2,2 months ago,06/04/2024
@izakizaki,Peter Drury The Best Commentator..,1,2 months ago,06/04/2024
@P17ndlm,Que bueno que suban los partidos completos. Felicitaciones,1,2 months ago,06/04/2024
@rohitkrishna8090,Was it just me or does Martin Tyler doesn't sound interested to commentate anymore?,1,2 months ago,06/04/2024
@user-rn7vm6qx3c,แม๊ตนี้ดูหลายครั้งก็ไม่เบื่อ,1,2 months ago,06/04/2024
@somedaysoonsunshine,"The ""Klop kids""? Lol.... Who calls them that? Klopp? Because he played some youngsters in the final minutes against Chelsea? They hardly ever start... United has 6 academy players every game.",1,2 months ago,06/04/2024
@LitoEvo,"BEST game of football ive watched in 10 years,  CMON YOU REDS  !",,2 months ago,06/04/2024
@deltafay1981,Thank you for this upload  thank you!!!!!,2,2 months ago,06/04/2024
@user-uq4hu2ww4k,"歴史に残る名勝負だった
️両チームを讃えよう",1,2 months ago,06/04/2024
@Bradchacha,Honestly grateful for this...once i saw this premier notification I didn't watch the highlights either,1,2 months ago,06/04/2024
@eduarddasilva6027,"Outstanding game. United is really different at old Trafford, I think they will give very tough times to klopp in league game.",1,2 months ago,06/04/2024
@No-uy5lc,สุดๆเลยแลกกันมันจัด,1,2 months ago,06/04/2024
@user-hx5uw1jh7f,I really enjoyed the game it was really nice that’s why whenever Klop says somthing L.F.C always listens to klop every single time it’s very sad that klop is leaving Liverpool because he is in my opinion he was the best manager Liverpool has ever seen.,,3 weeks ago,06/04/2024
@aronmeza,great match. great winning for man united. felt like nuñez had a bad game. liverpool never found themselves. felt like they didn't care the match.,1,2 months ago,06/04/2024
@abhedpatil,Well played @Manchester United. After a long time i see some desire and everyone working hard for the win.,,2 months ago,06/04/2024
@Floating-seal,2:11:46 that’s how every United fan felt when diallo scored,1,2 months ago,06/04/2024
@DuplantisTerpelanting,Why they didn't show the minute and score game?,1,2 months ago,06/04/2024
@emilmagnussen1134,Props for releasing this! Legendary game,,2 months ago,06/04/2024
@felimmahony,I just wondering were is mister Liverpool himself Jamie Carragher gone back hiding into his counsel house in his Liverpool slum,1,2 months ago,06/04/2024
@viksinha5410,"9:24 McTominay 1-0
43:37 MacAllister 1-1
46:44 Salah 1-2
1:31:17 Antony 2-2
 Trashford 
 Elliott 2-3
 Rashford 3-3
- Last-minute corner and Diallo winner",1,2 months ago,06/04/2024
@andyhughes8433,Wow what a match!,1,2 months ago,06/04/2024
@rakhvir,Amazing match. I hope we can build on this momentum and go on to win the cup.,,2 months ago,06/04/2024
@nandsall9492,As a Man Utd fan hard luck Liverpool. On half chances and full chances we JUST about deserved that win. Now go on and win that premiership title with your EXCELLENT team,,2 months ago,06/04/2024
@user-tt4xi1tb6l,"Thank you for your post video 
 love you Manchester united love you FA cup ",,2 months ago,06/04/2024
@luciavazquez2134,Narrators could show more emotion!,1,2 months ago,06/04/2024
@MrTwoRocks,I have watched this game but Ima do it again ,1,2 months ago,06/04/2024
@LitoEvo,"@2:12:53 that kid was me 1998, my whole family lost there chit and cried like this,  busby babes,  Sir Alex,  Manchester loves you 100%",,2 months ago,06/04/2024
@tamz2k5,One of the best games ive watched in my lifetime,,2 months ago,06/04/2024
@dayoogunmuyiwa8639,Rashford ,2,2 months ago,06/04/2024
@SteveroyWilliams,I did a clean slide tackle,1,2 weeks ago,06/04/2024
@QuizLunacy,This is why the FA Cup is THE greatest tournament of all.,,2 months ago,06/04/2024
@charlie_eimi,"Watching this for free 
THANKS FROM THE BOTTOM OF MY HEART FOR THE UPLOAD ",,2 months ago,06/04/2024
@doepeeriya9959,เกมส์นี้สนุก สมคู่แดงเดือด ,2,6 days ago,06/04/2024
@extremeloco23,No score and time at the top?,3,2 months ago,06/04/2024
@narongkanjaiuean10,Historical competition. Down load and save.,1,2 months ago,06/04/2024
@mikeliangliang6920,"Most emotional game i ever watched,  glory glory Manchester United ",,2 months ago,06/04/2024
@entata9658,"Thanke for the vedio. it the match classic and this is the history of world. i love Manchester united 
️
️
️
️
️",1,2 months ago,06/04/2024
@leoneomari3890,"My best man utd game this season
🫶",1,2 months ago,06/04/2024
@BenTurner-wy7yk,more football associations should post the full match on youtube cause this match was unreal,,2 months ago,06/04/2024
@user-wj5iv6dt5y,Games like this are why football is the best sport in the world,,2 months ago,06/04/2024
@somsrisornrat6648,The problem for me is the commentators...,1,2 months ago,06/04/2024
@Ashibell,"I’m happy this is here 
I didn’t watch the match",2,2 months ago,06/04/2024
@NoahHere_,What a match,2,2 months ago,06/04/2024
@tinashe5822,"Mainoo's skill, calm and intelligence is giving Pogba vibes....real baller that kid",,2 months ago,06/04/2024
@jayyouson1994,Best FA Cup game I've ever seen in a long time,,2 months ago,06/04/2024
@trimawabobibobiholic2019,United fan here am happy I can watch the match now when I know we won it,,2 months ago,06/04/2024
@newbiz8919,START WATCHING AT THIS TIME: 2:11:20,2,2 months ago,06/04/2024
@user-ko6sp8yr7e,フル見せてくれるのはマジでありがたい,,2 months ago,06/04/2024
@EJF2303,"What's happen to the flat commentator? Is he sick,,???",2,2 months ago,06/04/2024
@samersadaqa638,مبروك للفيصلي و اداء جميل من الاخضر ، لكن الكلاسيكو يُكسب و لا يلعب فرص كثيرة مهدرة من لاعبين الوحدات و تألق كبير لحارس الفيصلي ، الاداء الجميل يصبرنا على خسارة اليوم ، القادم اجمل ان شاء الله ,,2 months ago,06/04/2024
@ephraimkhoza4378,this game was fast and furious we forgotten the transpoter,1,2 months ago,06/04/2024
@l.rhmarsiama5642,33:29 What a pass,1,2 months ago,06/04/2024
@NateWrig92,2 words. Instant Classic,1,2 months ago,06/04/2024
@user-vo7kn7pp7l,Great match. Only marred slightly by a jobsworth ref who could have easily turned a blind eye to raw emotion.,2,2 months ago,06/04/2024
@solo-yl8uc,is it hard to have a timer bro?,1,2 months ago,06/04/2024
@raymondbanjarnahor2105,the ref was clearly pro liverpool ..luckily MU survived.,1,6 days ago (edited),06/04/2024
@WLL-lk4qk,"Agree,  best sport in the world,  nothing comes close to it,  the intensity and dramatic result are fabulous.",,2 months ago (edited),06/04/2024
@dioterch.7407,Thanks,,2 months ago,06/04/2024
@arifkurnchannel7212,Antony underrated wingback,1,2 months ago,06/04/2024
@DragonEggFilms2023,What a game! Fantastic.,,2 months ago,06/04/2024
@bibahmawutor9959,Bonkers… the whole game ,,2 months ago,06/04/2024
@smyfik,Манчестер после этой игры просто обязан брать Кубок!!!,1,2 months ago,06/04/2024
@DeenM2099,As a neutral fan this match was fantastic! I can't remember the last time I watched a replay of a full game.,,2 months ago,06/04/2024
@arassi2710,Masterpiece one from Manchester United ,,2 months ago,06/04/2024
@MrWitho,Any danger of putting the clock on the screen?,1,2 months ago,06/04/2024
@mollynamuddu8588,"Congratulations to my team MANCHESTER UNITED 
️
️",,2 months ago,06/04/2024
